reviewee location,is first,section,comments,length,shortened comment,shortened length,Tricia category,Ariel category,Ailie category,Equal,Final category
right,no,Methods,"In the study design, the method of measurement seems to account for the various forms of learning. I would say though that it is a little unclear if you are talking about demand characteristics of knowing how to play and instrument and then continuing to ",63,"In the study design, the method of measurement seems to account for the various forms of learning. ",18,1,1,1,true,1
right,yes,Methods,You need a control group.,5,,,3,2,3,false,2
left,no,Discussion,"This portion is also good; you addressed the ""more important"" confounds. If you're looking to extend your paper, you can talk about smaller confounds like fatigue effect (even though you explained in your participants section that they would know what the",67,"This portion is also good; you addressed the ""more important"" confounds. ",12,1,1,1,true,1
left,no,Discussion,"Personally, I think your design overall is well-written. Good job!",10,,,1,1,1,true,1
right,yes,Discussion,Good confounds and other potential issues with your study. You can define what each confound is with the vocabulary we learned so Dr. Rossano or the TA knows that you know your material. Anyone can address problems but not everyone knows what kind of prob,58,Good confounds and other potential issues with your study. ,10,1,1,1,true,1
right,yes,Discussion,"This is 7 pages long, so you may get docked points for that, unfortunately they seemed strict about the page amount. Excluding the references you had about 2 pages over the 5 page limit. If they're okay with it then it should be fine, but idk how they wil",50,"This is 7 pages long, so you may get docked points for that, unfortunately they seemed strict about the page amount. ",22,2,2,2,true,2
right,yes,Discussion,You have a good design here so I think you'll do well! :),13,,,1,1,1,true,1
left,no,Discussion,Fit everything more to APA format like cover page and references (cite correctly) and things should be fixed up.,19,,,3,3,3,true,3
left,yes,Discussion,"The author did a great job explain the possible confound and improvement. However further study should be mentioned, and the author only brings up the current benefit and application.",29,The author did a great job explain the possible confound and improvement. ,13,1,1,1,true,1
right,yes,Discussion,Lengthen this part a bit. There is a lot more you can say to improve this area mostly to avoid sounding very brief and rushed the way it is right now. Very interesting article overall though! ,37,Lengthen this part a bit. ,6,2,2,2,true,2
left,no,Discussion,I enjoyed the article. I think it could be made longer in the end if you come up with a nice conclusion paragraph that really sums up everything you're doing. ,31,I enjoyed the article. ,5,1,1,1,true,1
right,no,Discussion,"This section is missing so can't help, sorry!",8,,,2,2,2,true,2
left,yes,Discussion,Good,1,,,1,1,1,true,1
right,no,Discussion,Good ,2,,,1,1,1,true,1
left,yes,Discussion,"The implication is very reasonable! But you would like to add improvements in the final design. Also, the discussion part is a bit short. Overall, it's a topic that a lot of people will be interested in reading!",38,The implication is very reasonable! But you would like to add improvements in the final design. ,17,2,2,2,true,2
right,yes,Discussion,There could definitely be a longer statement about the implications for future study or other confounds/improvements.,16,,,3,2,3,false,3
right,yes,Discussion,I think it's better to limit the scale to 1 to 10.,12,,,3,3,3,true,3
left,yes,Discussion,I think what you put as implications for future studies was improvements for yours. I would include some ways that your study could (and in what ways) inspire others to want to look more into what you are studying. What could future scientists do based of,74,I think what you put as implications for future studies was improvements for yours. ,15,3,2,2,false,2
left,yes,Discussion,Discuss why age and gender may be a potential confound; talk more about further follow-ups and ways to make the study better,22,,,3,3,3,true,3
right,no,Discussion,"Almost everything is there and good, just elaborate more and go into more detail",14,,,2,3,2,false,2
right,no,Discussion,"You successfully identify potential confounds and offer viable solutions to avoid them in future studies. The discussion portion of your research design addresses every part of the rubric effectively. Great job overall with the entire research design, it ",50,You successfully identify potential confounds and offer viable solutions to avoid them in future studies. ,16,1,1,1,true,1
left,yes,Discussion,"You successfully identify and offer solutions to various potential confounds. One potential confound that may occur and might be worth mentioning is that different genres of music might be more distracting than others, and the preferred music of some subj",45,You successfully identify and offer solutions to various potential confounds. ,11,1,1,1,true,1
left,yes,Discussion,Good mention of potential confounds. Elaboration needed for future iterations of the study. ,14,,,2,2,2,true,2
right,no,Discussion,Good mention of confounds. Consider elaborating on how the study can be improved upon in the future and the implications of the study on other research. ,27,Good mention of confounds. ,5,1,1,1,true,1
right,yes,Discussion,It sums up the study very well.,7,,,1,1,1,true,1
left,no,Discussion,Can include improvements that you can make and your expectations for the future studies.,14,,,3,3,3,true,3
left,no,Discussion,You could add what'd you'd like this study to become in the future or open up later. Nice work!,19,,,3,3,3,true,3
right,yes,Discussion,Sums it up quite well ! ,7,,,1,1,1,true,1
left,yes,Discussion,"Be sure to state improvements for the study and the implications. Also, in the improvements section, see if there would be a way you could eliminate any of the confounds you listed. Try and have this section in paragraph format also. ",42,Be sure to state improvements for the study and the implications. ,12,3,3,3,true,3
right,no,Discussion,Be sure to list improvements for the study and why this study matters and where it can go from here (i.e. implications for the study). ,26,Be sure to list improvements for the study and why this study matters and where it can go from here (i.e. ,22,3,3,3,true,3
right,yes,Discussion,"The confounds you pointed out wouldn't really be confounds. In order to see the effect that caffeine consumption and sleep deprivation have, you need to compare people that have get different amounts of sleep and drink different amounts of coffee. Also wh",57,The confounds you pointed out wouldn't really be confounds. ,10,2,2,2,true,2
left,no,Discussion,"The discussion section is short and not to the point. It is, again, very hard to understand. There are no conclusions made, no potential improvements, or how any of this experiment has to do with self-efficacy or decision making.",39,"The discussion section is short and not to the point. It is, again, very hard to understand. ",18,2,2,2,true,2
right,yes,Discussion,This part is pretty good!,5,,,1,1,1,true,1
right,yes,Discussion,"Please include your potential confounds in your discussion, and be specific.",11,,,3,3,3,true,3
right,yes,Discussion,Good job :),3,,,1,1,1,true,1
left,no,Discussion,Future implications needed. Good analysis on confounds! I love your idea that combining each potential confound with the effects we learned in lecture.,23,,,3,1,3,false,2
left,no,Discussion,"Overall, Good job!! :)",4,,,1,1,1,true,1
left,yes,Discussion,Try to discuss why a future study would be important to broader society ,14,,,3,3,3,true,3
right,no,Discussion,Try to lengthen this section by elaborating on the confounds/ limitations you have already chosen to discuss. ,18,,,3,3,3,true,3
right,no,Discussion,Make sure you talk about how you can use this research to help others.,14,,,3,3,3,true,3
left,yes,Discussion,discretely vs discreetly,3,,,2,2,2,true,2
left,yes,Discussion,Why can't you control for time of day? ,9,,,2,2,2,true,2
left,yes,Discussion,"Overall, solid essay. Tighten up grammar and syntax a bit, but well-designed and thought out.",15,,,3,3,2,false,2
right,yes,Discussion,"Very straightforward, solid discussion section.",5,,,1,1,1,true,1
left,yes,Discussion,You need to state more implications.,6,,,3,3,3,true,3
right,no,Discussion,You're missing almost everything.,4,,,2,3,2,false,2
left,yes,Discussion,The discussion section is very well done. Just add improvements and it's good,13,,,3,3,2,false,2
right,no,Discussion,Your discussion section is very good. Nothing to add. Just think about clarifying or finding a more valid way of classifying the class concentration date as mentioned above. good luck,30,Your discussion section is very good. Nothing to add. ,10,1,1,1,true,1
left,no,Discussion,Maybe move your confounds to your discussion section instead of talking about them in your methodology.,16,,,3,3,3,true,3
left,no,Discussion,"Furthermore, there are some mechanical errors:  ""The most likely OUTCOME is that the study...""",15,,,3,2,2,false,3
right,yes,Discussion,You need to address improvements for the study and what you would add/change in future studies.,16,,,3,3,3,true,3
left,no,Discussion,"Not much improvements are stated in your discussion. When you do state them, you always refute it with another implication that might arise. ",24,,,2,2,2,true,2
right,yes,Discussion,Maybe add more confounds and profound explanation as to how your study will be replicated in the future. O,19,,,3,3,3,true,3
left,no,Discussion,When you say that girls are going to be less aggressive than boys you should probably cite a past study. Video game choice is very important for this experiment. ,30,When you say that girls are going to be less aggressive than boys you should probably cite a past study. ,21,3,3,3,true,3
left,no,Discussion,"I know it might be hard, but try to come up with a prediction and rationale behind in the intro. This may help you more on showing how the key 25 questions will be designed in a way that the subject felt motivated to lie. If you take out the traditional """,76,"I know it might be hard, but try to come up with a prediction and rationale behind in the intro. ",21,3,3,3,true,3
right,yes,Discussion,"There is just too much space to fill in. I cannot think of much advice to help you since there is nothing much to be helped here. But one important advice: do literature review first, then decide what exactly you want to do.",43,There is just too much space to fill in. ,10,2,2,2,true,2
left,yes,Discussion,"When giving the improvements, maybe be more specific about what a natural setting actually is. ",16,,,3,3,3,true,3
right,yes,Discussion,"I think overall this author hit all the points on the head. He was able to address all the issues of the feedback form and does it in a very concise, thorough way that really explains the ins and outs of his study design to me.",46,I think overall this author hit all the points on the head. ,13,1,1,1,true,1
left,no,Discussion,I think your point about the demand characteristics is really significant here. Maybe something more can be done to distract the viewer enough from recognizing what the study could be about. Whether it be a larger study with a lot more participants with e,87,I think your point about the demand characteristics is really significant here. ,13,1,1,1,true,1
right,yes,Discussion,"I think a possible confound would be whether all the people in the experimental group utilize the online materials. Also, I'm a bit confused about what you mean from online materials, is it not just confined by podcasts? I think its impossible to stop stu",85,I think a possible confound would be whether all the people in the experimental group utilize the online materials. ,20,2,2,2,true,2
right,no,Discussion,Could use a strong implication for future study section,9,,,3,2,2,false,2
left,no,Discussion,"I think it's better to state the introduction alone instead of putting some words in methods part. i can only see some confounds mentioned in the last paragraph, but I can't see the improvements and implications. It would be better if you can put more det",49,I think it's better to state the introduction alone instead of putting some words in methods part. ,18,3,3,3,true,3
right,yes,Discussion,"The author focuses most of the discussion part on the improvement. However, little discussion about potential confounds has been mentioned. I think it would better if the author could address a little about the potential confounds.",36,"The author focuses most of the discussion part on the improvement. However, little discussion about potential confounds has been mentioned. ",21,2,2,2,true,2
right,no,Discussion,Discussion is a little brief. Try to elaborate more on possible confounds rather than non-systematic subject attrition. You also have to keep in mind that there are also other possibilities for productivity (what if someone is a morning person and the oth,65,Discussion is a little brief. Try to elaborate more on possible confounds rather than non-systematic subject attrition. ,18,3,3,3,true,3
left,yes,Discussion,"Elaborate more on possible confounds of your research. What if there are more students in one group that are just better at reading comprehension than other students? Subject attrition? Furthermore, you should talk more about what improvements you can mak",67,Elaborate more on possible confounds of your research. ,9,3,3,2,false,2
left,yes,Discussion,"nice! youre on a good track, goodluck!",7,,,1,1,1,true,1
left,yes,Discussion,"nice! youre on a good track, goodluck!",7,,,1,1,1,true,1
left,yes,Discussion,"nice! youre on a good track, goodluck!",7,,,1,1,1,true,1
right,no,Discussion,Youre definitely off to a good start! Just make sure to include the improvements and future study design ideas. Goodluck!!,20,,,3,3,3,true,3
right,yes,Discussion,"Do not forget to state implications for future study. I know this is just a draft, but it is pretty good! Just be mindful to check the English sentence structure to make it clearer for readers.",36,"Do not forget to state implications for future study. I know this is just a draft, but it is pretty good! ",22,3,3,3,true,3
left,no,Discussion,"This section was very good at addressing the limitations. I especially like that you talked about internal/external validity. In addition, a longitudinal study is a good idea for future study.",30,This section was very good at addressing the limitations. I especially like that you talked about internal/external validity. ,19,1,1,1,true,1
left,yes,Discussion,"Unless I missed it, I would try to elaborate more on any future implications for future studies. Very nice job addressing confounds and improvements to the existing study.  ",30,"Unless I missed it, I would try to elaborate more on any future implications for future studies. ",18,3,3,3,true,3
right,no,Discussion,I see that it is incomplete so N/A,8,,,2,2,2,true,2
right,yes,Discussion,"There are still other confounds to account for. Since the experiment is taking place over a long period of time, participants might improve in completing the algebra problems due to practice. It is also unclear whether cold showers are being tested to hav",52,There are still other confounds to account for. ,9,2,2,2,true,2
left,no,Discussion,"After retaining the results, what will be controlled for?",9,,,2,2,2,true,2
left,no,Discussion,You executed the discussion section well!,6,,,1,1,1,true,1
right,no,Discussion,"You should work on the discussion section more. But overall, nice job! Try to work more on how to make certain statements and always try to cite them. ",29,"You should work on the discussion section more. But overall, nice job! ",13,2,3,2,false,2
left,no,Discussion,I didn't see any limitations you mentioned here. So you can search if anyone did the similar study but what how abstract your study. So that also gives you the idea of how to write the improvements of this study you will do.,43,I didn't see any limitations you mentioned here. ,9,2,2,2,true,2
left,yes,Discussion,Well done! Great Job!...,4,,,1,1,1,true,1
right,no,Discussion,Nicely done! only need to include improvements for the study.,10,,,3,2,2,false,2
right,no,Discussion,Good Luck!...,2,,,1,1,1,true,1
left,yes,Discussion,"Couple other confounds like experimenter effect , testing effect , ceiling effect ,floor effect , subject attrition. You need to talk about improvements.",23,,,3,2,3,false,2
left,yes,Discussion,Good Luck :),3,,,1,1,1,true,1
left,no,Discussion,The introduction was great. The discussion and data/methods were good but need more work.,14,,,2,2,2,true,2
right,no,Discussion,"If you design the foods based on subject preference then wouldn't the subjects it those foods instead. I.E Subject A loves to eat tofu. Subject B loves to eat cake. Subject A and B will mostly likely eat their preferred food. As a result, you will still r",90,If you design the foods based on subject preference then wouldn't the subjects it those foods instead. ,18,2,2,2,true,2
left,yes,Discussion,You must also discuss certain confounds and limitations your study may have in your discussion section. What would happen to students that couldn't take the exams at time given? What happens if the student who usually does the best in class does the worst,51,You must also discuss certain confounds and limitations your study may have in your discussion section. ,17,3,3,3,true,3
right,no,Discussion,I don't think ethical issues count as confounds.,8,,,2,2,2,true,2
right,no,Discussion,Talk about what the rubric tells you to talk about: what implications your study will have for the future. ,20,,,3,2,3,false,3
right,no,Discussion,Good luck.,2,,,1,1,1,true,1
left,yes,Discussion,"There is no discussion section. A part of the Data/method section discussing the possible confounds probably belongs in the discussion section, so perhaps start from there and discuss the possible improvements and implications that can be seen from perfor",41,There is no discussion section. ,6,2,2,2,true,2
left,yes,Discussion,Good outline but must add in important details stated in previous comments,12,,,2,2,2,true,2
left,no,Discussion,"What do you mean by a confound being "" short term and long term memory""? Be explicit in why this is problematic instead of just stating. ",27,"What do you mean by a confound being "" short term and long term memory""? ",16,2,2,3,false,2
left,yes,Discussion,Wasn't complete...but I good to see that they have direction of what they want to write about for the discussion.,20,,,2,2,2,true,2
left,yes,Discussion,"Other confounds could be frustration, which could potentially lead to subject attrition. Also needs to give more details on improving the study, instead of just what could've been done differently from participants' position.",33,"Other confounds could be frustration, which could potentially lead to subject attrition. ",13,2,2,2,true,2
right,no,Discussion,"Good explanation of confounds. Overall, needs to be completed and formatted, but good ideas and on the right track. ",20,,,3,2,2,false,2
right,no,Discussion,"Everything else is really good, but you need to do this section.",12,,,2,2,2,true,2
left,yes,Discussion,You do not address experimenter bias or demand characteristics or carryover effects etc. Also one of the confounds you listed could be eliminated by adding pilot participants.,27,You do not address experimenter bias or demand characteristics or carryover effects etc. ,14,2,2,2,true,2
left,yes,Discussion,Also your entire paper has some spelling and grammar errors that you should fix.,14,,,3,2,2,false,2
left,yes,Discussion,There was not a discussion section,6,,,2,2,2,true,2
left,no,Discussion,I don't think any of these questions were answered in this section of your study design. I almost feel as if the questions you included at the end should be near the start of the paper and you try to answer these questions in the discussion section at the,51,I don't think any of these questions were answered in this section of your study design. ,17,2,2,2,true,2
left,no,Discussion,No discussion,2,,,2,2,2,true,2
right,yes,Discussion,Make sure to check your spelling and grammar. I noticed certain words the spell checker won't notice like attention spam instead of attention span ,25,,,3,3,3,true,3
left,yes,Discussion,You might want to state what sorts of benefits in knowledge we would be getting out of future studies on this topic.,22,,,3,2,3,false,3
left,yes,Discussion,"Like this part! Plus, I found one more confound, which is the familiarity of the article. Maybe you could manipulate this before the experiment to eliminate the bias caused by this. Hope this would be helpful.",36,"Like this part! Plus, I found one more confound, which is the familiarity of the article. ",17,2,2,2,true,2
right,no,Discussion,I'm not sure what self-fulfilling prophecy is so maybe go more in depth. Although you stated that they should fix the confounds in the future you didn't state how. ,30,I'm not sure what self-fulfilling prophecy is so maybe go more in depth. ,14,2,2,3,false,2
left,yes,Discussion,"Really solid discussion section, really liked how you discussed certain confounds and made sure they weren't just things you could've changed in the experiment ",25,,,1,1,1,true,1
right,yes,Discussion,Missing a discussion section.,4,,,2,2,2,true,2
left,no,Discussion,Nice job mentioning confounds. What are some specific examples of confounds?,11,,,2,3,3,false,2
left,yes,Discussion,I think there are more potential confounds to be found. Things like participants not wanting to do a particular exercise could be one and simply leaving. Or another is lying about their feelings thus giving false data. ,38,I think there are more potential confounds to be found. ,11,2,2,2,true,2
right,no,Discussion,"Overall very good study design. It was short easy to understand and effective. I think there are more confounds and limitations that could be stated. I think for an improve to the study, there could be a different type of music being played. For example j",104,Overall very good study design. It was short easy to understand and effective. ,14,1,1,1,true,1
left,no,Discussion,"Would personally add more information on the subject attrition part, simply because it seems highly probable for many participants to opt out. All other limitations are assessed, and future study implications are addressed. ",34,"Would personally add more information on the subject attrition part, simply because it seems highly probable for many participants to opt out. ",23,3,3,2,false,3
right,yes,Discussion,"Well thought process to flip the results, having the experimenters grade each others work, eliminating one confound. Other confounds clearly assessed by mathematical background. Overall great work, simply need to extend.",31,"Well thought process to flip the results, having the experimenters grade each others work, eliminating one confound. ",18,1,1,1,true,1
right,no,Discussion,Further expand and check grammatical errors,6,,,3,2,2,false,2
left,yes,Discussion,I do not see any discussion. Just see you talking about results of the experiment.,15,,,2,2,2,true,2
right,no,Discussion,Discussion is good. Tackled all the points required in the syllabus so I do not see any problems. Again nice work. Focus on touching up the little things and you have a solid study design,35,Discussion is good. Tackled all the points required in the syllabus so I do not see any problems. Again nice work. ,22,1,1,1,true,1
right,no,Discussion,"Again, you hit all of the points, but only very broadly. Think of how YOUR study might specifically influence future studies. ",22,,,3,3,3,true,3
right,no,Discussion,General sidenote: The entire essay feels very padded. ,9,,,2,2,2,true,2
right,no,Discussion,"eg  Most of your first paragraph on the experiment's design could be summed up in the two words ""Matching Scheme"". The ideas are all there, and you've checked most of the boxes; just be sure not to treat your reader like they have no idea what's going on!",50,"eg  Most of your first paragraph on the experiment's design could be summed up in the two words ""Matching Scheme"". ",22,3,2,3,false,3
right,yes,Discussion,"More people will always help improve external validity, but are there any other improvements that could be made?",18,,,2,3,2,false,2
left,no,Discussion,There is a lot missing in the discussion that talks about future studies on this topic,16,,,2,2,2,true,2
left,yes,Discussion,Future type of experiment would work out much better. ,10,,,2,2,2,true,2
left,yes,Discussion,"Another concern to note is history effects -- what if something happens to the participants in the month that influences the results? Other improvements for the study could be lessening the age gap -- the participants could just be 20-25 year olds, etc. G",58,Another concern to note is history effects -- what if something happens to the participants in the month that influences the results? ,23,2,3,3,false,3
right,yes,Discussion,Seems like you were not able to get to this point so just be sure to write these points in before they are due,24,,,3,3,3,true,3
left,no,Discussion,I think this section is insightful you definitely touched on some key points maybe even trying to find a bit more ... I did like how you added the fatigue effect ,32,I think this section is insightful you definitely touched on some key points maybe even trying to find a bit more ... ,23,1,2,1,false,2
left,no,Discussion,You don't explain how this study could be improved or used to discover other phenomenon. Other then that you address the main points as how you should of addressed them.,30,You don't explain how this study could be improved or used to discover other phenomenon. ,16,2,2,2,true,2
right,no,Discussion,Your almost done with this study design!! I know you can do this !,14,,,1,1,1,true,1
right,yes,Discussion,Solid paper Hannah! Topic is interesting as it reminds me of a few lectures discussed by the Professor. ,19,,,1,1,1,true,1
right,yes,Discussion,Study design meets all requirements.,5,,,1,1,1,true,1
right,yes,Discussion,Good job and have a happy thanksgiving! ,8,,,1,1,1,true,1
left,yes,Discussion,Great job on addressing potential confounds and improvements that could be made in the future. However you would have a problem with external validity because UCSD undergraduates are not an accurate representation of the general population.,36,Great job on addressing potential confounds and improvements that could be made in the future. ,16,1,1,1,true,1
left,no,Discussion,"I recommend expanding on other types of confounds that could occur in the study such as experimenter bias and demand characteristics. For the future study, I would recommend shifting the experiment to choices in other objects besides pens.Using young indi",47,I recommend expanding on other types of confounds that could occur in the study such as experimenter bias and demand characteristics. ,22,3,3,3,true,3
right,yes,Discussion,state implications for future study but all in all good job well written! ,14,,,3,2,3,false,3
left,yes,Discussion,"My only suggestion would be to change the wording of ""screw up the data and results"" in the fifth line. ""screw up"" is a bit unprofessional; maybe ""introduce substantial confounds? But that's fairly trivial and just my personal opinion. Otherwise, looks go",42,"My only suggestion would be to change the wording of ""screw up the data and results"" in the fifth line. ",21,3,3,2,false,2
left,no,Discussion,"I recommend naming the specific confounds that you are mentioning. For example, the first confound is related to subject attrition, and I think specifically saying ""subject attrition"" may get you extra points!",32,I recommend naming the specific confounds that you are mentioning. ,11,3,2,3,false,3
left,no,Discussion,Also wanted to add that your references page is not in APA format!,13,,,2,2,2,true,2
left,yes,Discussion,The improvement seems too simple. And you may add some implications for future study.,14,,,3,2,3,false,3
left,no,Discussion,"I dont know, either, maybe ask the TA? For me, I may only say I do this test on such such subjects.",22,,,3,3,3,true,3
left,no,Discussion,"Like I said, drinking and eating might be kind of narrow. You can open your mind to other habits formation like games and sports.",24,,,3,3,3,true,3
left,no,Discussion,My opinion is that your reasoning goes right after where the corresponding method is introduced.,15,,,3,2,3,false,3
left,no,Discussion,Good luck!,2,,,1,1,1,true,1
left,no,Discussion,"Overall a unique research question, but I would recommend talking to your TA to sharpen various aspects so there aren't too many variables. For example, what does a control group look like in this case",35,"Overall a unique research question, but I would recommend talking to your TA to sharpen various aspects so there aren't too many variables. ",24,3,3,3,true,3
left,no,Discussion,All rubric fulfilled.,3,,,1,1,1,true,1
right,yes,Discussion,Need to state the improvement clearly.,6,,,2,2,2,true,2
left,yes,Discussion,Address more potential confounds and limitations of the study.,9,,,3,2,3,false,2
left,yes,Discussion,Not included,2,,,2,2,2,true,2
left,yes,Discussion,Unable to evaluate - no discussion section yet.,8,,,2,2,2,true,2
left,no,Discussion,"Discussion section was also good, listed some valid confounds and potential limitations of his/her experiment. ",16,,,1,1,1,true,1
left,yes,Discussion,It expressed all of the requirements however I think it could be written in a more scholarly fashion,18,,,3,2,2,false,2
right,no,Discussion,There was not discussion sections.,5,,,2,2,2,true,2
right,yes,Discussion,"The discussion was to the point, and I liked that. Watch out for your formatting, it was kind of off. To improve, you could go into detail of the different limitations to your experiment: ""Are there confounds, what are the possible demand characteristics.",44,"The discussion was to the point, and I liked that. Watch out for your formatting, it was kind of off. ",21,2,2,2,true,2
right,yes,Discussion,"I really like your paper, it has a nice foundation. You just need to tighten it up a bit.",19,,,2,2,2,true,2
left,no,Discussion,"I feel that this section is the easiest part to the paper. Explain the limitations you might encounter from conducting your experiment. ""Are there Demand Characteristics, What are the Subject variables... are there confounds in the experiment."" ",38,I feel that this section is the easiest part to the paper. Explain the limitations you might encounter from conducting your experiment. ,23,3,2,3,false,3
left,no,Discussion,Then ask yourself what could be done to make your experiment better in the future & what might they have problems with too. ,24,,,3,2,3,false,3
left,no,Discussion,"In the Methods section, identify your Variables. It looks way more professional.",12,,,3,3,3,true,3
left,yes,Discussion,"The biggest confound is your study might randomly put 4 5 year olds in one group and no children in another.  The age ranges are too great, and random assortment can lead to asymmetric groups.  People within that same group remember things differently.  A",83,The biggest confound is your study might randomly put 4 5 year olds in one group and no children in another. ,22,2,2,2,true,2
right,no,Discussion,Your discussion section looked very good! Concise and accurate,9,,,1,1,1,true,1
left,yes,Discussion,I like your ideas in your discussion section. Maybe implications for the future you could add that schools that teach second languages could add some instruction on metaphor into their curriculum? Overall I thought you set up your study design really nice,42,I like your ideas in your discussion section. ,9,1,1,1,true,1
right,no,Discussion,There should be a nice conclusion about why this is important. This section will be really beneficial in terms of getting grant money for research and whatnot. Maybe talk about music in the standardized education system or the arts in general. ,42,There should be a nice conclusion about why this is important. ,12,3,2,3,false,2
right,yes,Discussion,State the importance of this study and this would hint at why this should receive grant funding if it was an actual study ,24,,,3,3,3,true,3
